customer_id,orig_month,age, income ,debt_income,bureau_score,utilization,prev_delin_24m,tenure_months,product,channel,region,amount,term_months,unemp,rate,infl
1,01/04/2025,38," 23,422.33 ",0.6224,703.1,0.0894,0,35,PL,Partner,C," 72,728.28 ",18,4.495141325,7.538432417,4.619724439
2,01/03/2024,34," 103,244.98 ",0.3936,691.9,0.1771,1,17,PL,Partner,C," 45,248.85 ",18,4.335647963,7.37584152,4.507774789
3,01/05/2024,31," 41,568.33 ",0.5023,653.2,0.4781,0,68,AUTO,Digital,C," 308,801.45 ",12,4.66179925,7.384581981,4.868221727
4,01/02/2025,21," 16,828.33 ",0.219,642.4,0.6044,0,6,CC,Digital,C," 26,607.87 ",12,4.404923627,7.608610764,4.481929406
5,01/01/2024,50," 12,633.20 ",0.1435,681.7,0.1931,0,40,PL,Digital,C," 92,093.10 ",18,3.984338763,7.382953471,4.249540775
6,01/09/2024,28," 38,258.86 ",0.5414,625.7,0.3503,0,63,AUTO,Branch,C," 142,327.82 ",12,5.178297344,7.59637106,4.625228883
7,01/12/2024,21," 34,986.76 ",0.2935,709.9,0.0407,0,6,CC,Partner,N," 14,702.56 ",12,4.381849734,7.348102839,4.550878233
8,01/10/2022,29," 24,126.21 ",0.3842,603.6,0.2423,1,17,PL,Digital,N," 84,014.16 ",18,4.014469884,6.908256307,4.278982567
9,01/03/2022,21," 34,684.79 ",0.4979,702.9,0.0808,0,81,CC,Digital,C," 22,040.43 ",12,3.983684207,6.886503953,4.319145974
10,01/01/2023,54," 12,939.38 ",0.5086,672.4,0.2919,0,71,PL,Branch,C," 36,974.77 ",36,3.936413418,7.112834541,4.26207551
11,01/12/2022,39," 32,501.67 ",0.1841,742.2,0.5604,0,6,CC,Branch,S," 25,282.34 ",12,4.067362364,7.176234322,4.197013693
12,01/01/2025,49," 36,505.66 ",0.4421,610.4,0.1674,0,51,CC,Digital,C," 30,848.48 ",12,4.423524315,7.698326218,4.541002966
13,01/03/2025,49," 36,968.72 ",0.1657,678.2,0.1215,0,17,CC,Branch,N," 25,926.57 ",12,4.524553756,7.632134672,4.78076147
14,01/01/2022,41," 21,688.28 ",0.2781,603.8,0.4174,0,51,PL,Digital,C," 64,461.03 ",12,4.024317818,6.890388636,4.257778239
15,01/09/2023,41," 33,350.81 ",0.5835,583.6,0.3339,1,12,PL,Branch,S," 46,322.61 ",12,4.24895552,7.187629444,4.499249245
16,01/11/2024,29," 24,511.50 ",0.5493,632.3,0.3696,1,126,PL,Digital,C," 82,100.01 ",24,4.501860258,7.588992415,4.501958096
17,01/06/2022,35," 12,000.00 ",0.8658,741.3,0.4062,0,61,PL,Partner,S," 58,587.69 ",24,3.934047735,6.987448656,4.245988283
18,01/10/2024,30," 12,000.00 ",0.6788,716.9,0.1752,0,47,PL,Digital,C," 43,760.31 ",36,4.74003299,7.467006406,4.672884861
19,01/06/2022,36," 45,800.06 ",0.4876,622,0.7038,0,24,CC,Digital,C," 17,543.77 ",12,3.934047735,6.987448656,4.245988283
20,01/08/2023,30," 17,627.18 ",0.4654,733.1,0.4442,0,32,CC,Branch,S," 28,737.69 ",12,4.100461817,7.236346454,4.459213836
21,01/11/2024,48," 42,788.71 ",0.7007,661.1,0.4647,0,39,CC,Digital,N," 31,676.78 ",12,4.501860258,7.588992415,4.501958096
22,01/01/2023,43," 19,527.03 ",0.2844,638.6,0.1549,0,50,CC,Branch,S," 25,185.55 ",12,3.936413418,7.112834541,4.26207551
23,01/03/2023,35," 38,845.51 ",0.4295,667.9,0.4591,0,51,PL,Digital,C," 45,490.63 ",24,4.238973563,7.121038066,4.218749789
24,01/12/2022,21," 60,457.03 ",0.3277,651.9,0.7527,0,17,PL,Digital,N," 26,530.07 ",24,4.067362364,7.176234322,4.197013693
25,01/07/2024,42," 96,262.76 ",0.2081,688.8,0.2643,0,23,CC,Digital,N," 36,402.14 ",12,4.745033147,7.574736898,4.712300248
26,01/11/2022,44," 26,798.09 ",0.4611,617.2,0.3257,0,39,PL,Digital,C," 78,342.59 ",12,3.78765321,7.324045255,4.187300189
27,01/06/2025,35," 71,055.97 ",0.5796,785.1,0.466,1,75,PL,Digital,C," 68,809.25 ",24,4.652506583,7.532933287,4.679545128
28,01/07/2023,24," 37,744.30 ",0.7455,628.3,0.4011,0,34,PL,Digital,N," 48,563.25 ",24,4.33662585,7.137931136,4.360457309
29,01/09/2023,40,,0.4952,735.6,0.2756,0,42,CC,Branch,C," 11,567.98 ",12,4.24895552,7.187629444,4.499249245
30,01/10/2023,46," 12,000.00 ",0.5707,723.3,0.0913,1,45,PL,Digital,S," 67,241.76 ",24,4.263790345,7.227634283,4.488417007
31,01/01/2024,18," 40,296.30 ",0.7961,635.8,0.5834,0,5,CC,Digital,C," 22,018.97 ",12,3.984338763,7.382953471,4.249540775
32,01/12/2023,41," 56,770.32 ",0.616,594.4,0.1705,0,25,PL,Partner,C," 45,069.70 ",24,3.931777989,7.323930473,4.388642794
33,01/10/2023,19," 26,547.90 ",0.2856,660.6,0.082,0,111,PL,Branch,N," 64,640.29 ",18,4.263790345,7.227634283,4.488417007
34,01/06/2025,37," 29,044.85 ",0.2972,721.9,0.0494,0,37,AUTO,Digital,S," 271,274.24 ",12,4.652506583,7.532933287,4.679545128
35,01/10/2024,52," 20,960.86 ",0.4766,654,0.3314,0,56,PL,Digital,S," 40,542.63 ",24,4.74003299,7.467006406,4.672884861
36,01/10/2024,37," 20,397.50 ",0.3658,743.7,0.3966,0,9,PL,Digital,C," 45,196.31 ",36,4.74003299,7.467006406,4.672884861
37,01/06/2024,40," 54,169.28 ",0.239,682.8,0.4522,0,31,CC,Digital,C," 17,312.59 ",12,4.718611396,7.444710794,4.886401043
38,01/03/2024,33," 27,097.86 ",0.3589,674.5,0.2235,0,8,AUTO,Partner,N," 94,087.00 ",24,4.335647963,7.37584152,4.507774789
39,01/03/2023,36," 21,998.22 ",0.2037,763.1,0.6739,1,49,PL,Branch,C," 52,084.37 ",18,4.238973563,7.121038066,4.218749789
40,01/06/2025,58," 40,118.56 ",0.3663,677.9,0.749,0,11,CC,Digital,C," 21,910.48 ",12,4.652506583,7.532933287,4.679545128
41,01/08/2023,48," 21,764.20 ",0.2021,605.3,0.2103,0,126,PL,Branch,C," 111,535.97 ",24,4.100461817,7.236346454,4.459213836
42,01/10/2022,33," 35,063.40 ",0.3665,617.3,0.092,0,25,PL,Partner,N," 98,760.29 ",12,4.014469884,6.908256307,4.278982567
43,01/12/2024,33," 24,057.68 ",0.2718,709.3,0.4461,0,23,PL,Branch,C," 53,882.80 ",24,4.381849734,7.348102839,4.550878233
44,01/07/2022,36," 36,022.40 ",0.3195,628.2,0.5581,0,55,CC,Digital,C," 27,969.58 ",12,3.856963842,7.252470952,4.250438845
45,01/01/2025,56," 26,768.10 ",0.3124,710.8,0.5918,0,63,PL,Branch,C," 62,890.88 ",36,4.423524315,7.698326218,4.541002966
46,01/02/2024,38," 12,542.06 ",0.4542,694.4,0.626,1,32,PL,Branch,N," 25,660.56 ",24,4.39192662,7.532135703,4.380185695
